DATE_RESERVATION;PLAGE_HORAIRE;STATUT;STRUCTURE;NOM_COMPLET;FONCTION;DATE_CREATION;PONT_SITE
2022-08-01;JOUR;VALIDE;EOLIS;2022-08-01;CORDONNATEUR DES OPERATIONS PORTUAIRES;2022-02-21 11:03:43;EOLIS PONT
2022-08-01;JOUR;VALIDE;SOGENA;2022-08-01;SUPERVISEUR;2022-04-22 13:40:58;SOGENA EX-CAISTAB
2022-08-01;JOUR;VALIDE;SOGENA;2022-08-01;RESPONSABLE PONT BASCULE;2022-05-05 16:09:53;SOGENA
2022-08-01;JOUR;VALIDE;coic sa;2022-08-01;GESTIONNAIRE DE STOCKS ;2022-06-01 06:41:33;COIC
2022-08-01;JOUR;VALIDE;CTM;2022-08-01;DGA;2022-06-10 09:17:02;CTM
2022-08-01;JOUR;VALIDE;PROLINE LOGISTIC;2022-08-01;RESPONSABLE PESEUR;2022-06-10 15:05:26;R et R
2022-08-01;JOUR;VALIDE;ITCA;2022-08-01;RESPONSABLE PRODUITS FINIS;2022-06-24 14:50:43;ITCA
2022-08-01;JOUR;VALIDE;SACO;2022-08-01;AGENT LOGISTIQUE;2022-06-28 11:47:43;SACO ABIDJAN
2022-08-01;JOUR;VALIDE;CARGILL COCOA;2022-08-01;SUPERVISEUR OPÃRATIONS SHIPPING;2022-06-30 16:24:13;CARGILL COCOA YOP
2022-08-01;JOUR;ANNULE;FARLIN COMMODITIES;2022-08-01;PESEUR;2022-07-08 11:22:53;FARLIN
2022-08-01;JOUR;VALIDE;ZAMACOM;2022-08-01;RESPONSABLE TRANSIT ;2022-07-11 11:56:02;ZAMACOM PONT 1
2022-08-01;JOUR;VALIDE;OLAM;2022-08-01;COOORDINATEUR PESAGE;2022-07-12 15:38:34;USINE UNICAO PONT02
2022-08-01;JOUR;VALIDE;SEAFEM;2022-08-01;DIRECTEUR GENERAL;2022-07-19 15:15:26;SEAFEM
2022-08-01;JOUR;VALIDE;;2022-08-01;RESPONSABLE DES OPERATIONS;2022-07-22 12:23:17;STNC
2022-08-01;JOUR;REJETE;FACI;2022-08-01;AGENT DE TRANSIT;2022-07-26 10:31:01;FACI
2022-08-01;JOUR;REJETE;FACI;2022-08-01;AGENT DE TRANSIT;2022-07-26 10:31:02;FACI
2022-08-01;JOUR;VALIDE;MANTRA;2022-08-01;LOGISTIQUE;2022-07-27 16:39:19;MANTRA
2022-08-01;JOUR;VALIDE;MANTRA;2022-08-01;LOGISTIQUE;2022-07-27 16:39:29;YIRIMA
2022-08-01;JOUR;VALIDE;APM TERMINAL;2022-08-01;RESPONSABLES DES OPÃRATIONS DE DÃPÃTS ;2022-07-28 06:09:07;APM TERMINAL
2022-08-01;JOUR;ANNULE;MEDLOG;2022-08-01;AGENT PONT BASCULE;2022-07-28 07:55:34;MEDLOG
2022-08-01;JOUR;VALIDE;TRCI;2022-08-01;RESPONSABLE PRODUIT FINI;2022-07-29 09:00:34;TRCI ANGUEDEDOU
2022-08-01;JOUR;VALIDE;MEDLOG;2022-08-01;AGENT PONT BASCULE;2022-07-29 10:08:51;MEDLOG
2022-08-01;JOUR;VALIDE;BOLLORE TRANSPORT & LOGISTICS;2022-08-01;AGENT;2022-07-29 11:38:51;T6
2022-08-01;JOUR;VALIDE;BOLLORE TRANSPORT & LOGISTICS;2022-08-01;AGENT;2022-07-29 11:39:01;VRIDI 3 PONT 1
2022-08-01;JOUR;VALIDE;BOLLORE TRANSPORT & LOGISTICS;2022-08-01;AGENT;2022-07-29 11:40:31;COTON RAN
2022-08-01;JOUR;VALIDE;ETC-CI;2022-08-01;RESP. TECHNIQUE;2022-07-29 12:44:56;ETC-CI
2022-08-01;JOUR;VALIDE;MOVIS;2022-08-01;COCORDINATEUR ;2022-07-29 13:38:45;CFS 4 VRIDI
2022-08-01;JOUR;VALIDE;LTA;2022-08-01;CHEF SERVICE PESAGE;2022-07-29 13:54:47;LTA 3
2022-08-01;JOUR;VALIDE;LTA;2022-08-01;CHEF SERVICE PESAGE;2022-07-29 13:55:11;LTA 1
2022-08-01;JOUR;VALIDE;GMCI;2022-08-01;ASSISTANT RESPONSABLE TRANSIT EXPORT;2022-07-29 14:20:32;GMCI GARE DU MALI
